SaanichInlet_200m.113	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__
SaanichInlet_200m.57	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__
SaanichInlet_200m.189	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__;g__;s__
SaanichInlet_200m.148	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__SCGC-AAA011-G17;f__;g__;s__
SaanichInlet_200m.174	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__SCGC-AAA011-G17;f__;g__;s__
SaanichInlet_200m.220	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__;s__
SaanichInlet_200m.65	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__UBA12501;f__;g__;s__
SaanichInlet_200m.55	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__;f__;g__;s__
SaanichInlet_200m.63	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__;f__;g__;s__
SaanichInlet_200m.154	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__GW2011-AR9;f__GW2011-AR9;g__;s__
SaanichInlet_200m.70	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__GW2011-AR9;f__GW2011-AR9;g__;s__
SaanichInlet_200m.56	d__Archaea;p__Nanoarchaeota;c__;o__;f__;g__;s__
SaanichInlet_200m.210	d__Archaea;p__Micrarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__;g__;s__
SaanichInlet_200m.201	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__
SaanichInlet_200m.53	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__
SaanichInlet_200m.137	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
