pathway,ko
ko00920,K00299
ko00920,K00380
ko00920,K00381
ko00920,K00385
ko00920,K00387
ko00920,K00390
ko00920,K00392
ko00920,K00394
ko00920,K00395
ko00920,K00640
ko00920,K00641
ko00920,K00651
ko00920,K00860
ko00920,K00955
ko00920,K00956
ko00920,K00957
ko00920,K00958
ko00920,K00988
ko00920,K01011
ko00920,K01082
ko00920,K01738
ko00920,K01739
ko00920,K02045
ko00920,K02046
ko00920,K02047
ko00920,K02048
ko00920,K02439
ko00920,K03119
ko00920,K04091
ko00920,K05301
ko00920,K05907
ko00920,K06881
ko00920,K07306
ko00920,K07307
ko00920,K07308
ko00920,K08352
ko00920,K08353
ko00920,K08354
ko00920,K08357
ko00920,K08358
ko00920,K08359
ko00920,K10150
ko00920,K10764
ko00920,K10831
ko00920,K11180
ko00920,K11181
ko00920,K13034
ko00920,K13811
ko00920,K15422
ko00920,K15551
ko00920,K15552
ko00920,K15553
ko00920,K15554
ko00920,K15555
ko00920,K15759
ko00920,K15762
ko00920,K15765
ko00920,K16936
ko00920,K16937
ko00920,K16950
ko00920,K16951
ko00920,K16952
ko00920,K16953
ko00920,K16954
ko00920,K16955
ko00920,K16964
ko00920,K16965
ko00920,K16966
ko00920,K16967
ko00920,K16968
ko00920,K16969
ko00920,K17069
ko00920,K17217
ko00920,K17218
ko00920,K17219
ko00920,K17220
ko00920,K17221
ko00920,K17222
ko00920,K17223
ko00920,K17224
ko00920,K17225
ko00920,K17226
ko00920,K17227
ko00920,K17228
ko00920,K17229
ko00920,K17230
ko00920,K17486
ko00920,K17725
ko00920,K17993
ko00920,K17994
ko00920,K17995
ko00920,K17996
ko00920,K20034
ko00920,K20035
ko00920,K20036
ko00920,K21307
ko00920,K21308
ko00920,K21309
ko00920,K21310
ko00920,K22470
ko00920,K22622
ko00920,K22966
