pathway,ko
ko00720,K00024
ko00720,K00031
ko00720,K00169
ko00720,K00170
ko00720,K00171
ko00720,K00172
ko00720,K00174
ko00720,K00175
ko00720,K00176
ko00720,K00177
ko00720,K00194
ko00720,K00196
ko00720,K00197
ko00720,K00198
ko00720,K00239
ko00720,K00240
ko00720,K00241
ko00720,K00242
ko00720,K00244
ko00720,K00245
ko00720,K00246
ko00720,K00247
ko00720,K00297
ko00720,K00625
ko00720,K00626
ko00720,K00925
ko00720,K01006
ko00720,K01007
ko00720,K01491
ko00720,K01595
ko00720,K01648
ko00720,K01676
ko00720,K01677
ko00720,K01678
ko00720,K01679
ko00720,K01681
ko00720,K01682
ko00720,K01847
ko00720,K01848
ko00720,K01849
ko00720,K01895
ko00720,K01902
ko00720,K01903
ko00720,K01938
ko00720,K01958
ko00720,K01959
ko00720,K01960
ko00720,K01961
ko00720,K01962
ko00720,K01963
ko00720,K01964
ko00720,K02160
ko00720,K03737
ko00720,K05299
ko00720,K05606
ko00720,K08691
ko00720,K09709
ko00720,K13788
ko00720,K14138
ko00720,K14449
ko00720,K14465
ko00720,K14466
ko00720,K14467
ko00720,K14468
ko00720,K14469
ko00720,K14470
ko00720,K14471
ko00720,K14472
ko00720,K14534
ko00720,K15016
ko00720,K15017
ko00720,K15018
ko00720,K15019
ko00720,K15020
ko00720,K15022
ko00720,K15023
ko00720,K15024
ko00720,K15036
ko00720,K15037
ko00720,K15038
ko00720,K15039
ko00720,K15052
ko00720,K15230
ko00720,K15231
ko00720,K15232
ko00720,K15233
ko00720,K15234
ko00720,K18209
ko00720,K18210
ko00720,K18556
ko00720,K18557
ko00720,K18558
ko00720,K18559
ko00720,K18560
ko00720,K18593
ko00720,K18594
ko00720,K18602
ko00720,K18603
ko00720,K18604
ko00720,K18605
ko00720,K18859
ko00720,K18860
ko00720,K18861
